Area,Bedrooms,Age,DistanceCity,Price
3311,5,47,14,1102598.297120634
1869,5,18,22,485959.9714450699
2486,2,34,29,540214.176571543
646,1,32,22,16474.615213050616
3719,1,7,8,1087144.5573988871
3411,5,48,21,891545.1060645119
2234,1,26,17,427105.36436788755
2343,3,36,29,499664.07667517755
988,4,41,19,301527.7895533603
3476,5,7,14,1055451.2853918043
2459,5,43,9,797442.2894215666
2885,1,47,7,788356.571555774
3419,4,31,21,934286.5061831166
2302,4,18,14,702839.6941073046
4561,5,29,27,1363150.6323845752
3869,5,35,1,1362655.3830115327
762,5,9,12,364531.2311712398
1123,3,35,4,315332.49806351156
1516,1,15,24,202734.82730501704
4143,3,2,15,1246249.7958021464
2549,5,21,1,961644.820614557
4223,4,21,8,1361034.5608850475
3608,1,20,15,1014708.9389719558
4590,1,29,6,1309430.6633138962
2556,5,26,27,720311.8866217415
3670,5,1,27,919009.0837808693
2182,5,7,26,605055.1117136176
2755,5,42,2,1001227.3878832513
1654,5,22,13,541784.5640205062
4999,5,38,7,1555966.0022325302
3691,1,37,2,1171534.0572735677
2196,3,40,1,754532.0243595132
4491,4,35,27,1179989.5048595064
2148,5,13,23,694754.3755199304
1945,4,30,8,622858.0260028008
4699,1,46,16,1139510.8167321044
4423,4,18,11,1353601.1020547322
753,1,29,23,-50941.46448398962
3683,2,15,25,893354.0318036388
3057,3,11,7,920378.3588946832
598,2,23,7,162281.79563874536
2700,1,41,20,612512.9693832428
3461,2,37,2,1034445.3688252618
4933,1,31,25,1206175.6659833244
4277,2,49,13,1176032.0322060967
3369,1,18,4,972243.4003748518
3734,3,39,14,1081408.457718781
4291,3,46,9,1246170.2885299693
1456,3,4,18,446573.06650940457
4567,1,44,4,1286763.7290403007
660,4,45,14,124830.8721922326
4993,2,46,21,1340119.0222849003
1800,2,1,22,494123.8823724959
4487,2,31,7,1274470.0644920385
2027,2,26,22,473258.64091836725
1718,3,1,4,568560.6514605317
4996,4,36,22,1312281.4356266602
3604,2,36,3,1119566.938635449
3235,4,21,17,982191.4209298184
1454,1,33,8,350681.0583419341
3946,1,26,20,985858.5919398427
1545,2,16,9,486548.6746820736
2193,5,38,1,786072.4790244671
3936,3,22,17,1192002.8408798017
1062,2,9,23,205381.31808686163
2985,3,21,3,912942.0670694975
3854,2,14,14,1039456.1664745191
725,3,49,28,-58822.08626453765
1459,5,39,27,368939.71577712835
3567,5,35,14,1127948.8192608003
1315,1,42,26,70002.93361188295
3620,2,38,12,990884.7916514224
516,5,15,22,203773.21189277712
1743,5,27,28,479993.6577871521
2705,2,34,27,577519.7804529916
3024,2,31,15,830608.1368591363
1569,1,46,4,471743.0654323871
3944,5,23,3,1387883.448904263
3065,3,20,8,876560.6399519559
1560,2,40,6,429436.7923398657
2827,2,18,17,766457.1965472461
3920,2,31,6,1210823.3774858066
801,2,45,16,66532.80694300636
4776,5,33,2,1648211.7663617425
1106,3,17,9,342398.548554305
3670,1,10,14,955298.5333294349
1199,4,10,13,348221.5961338501
1639,5,17,13,532768.650740266
690,5,0,17,294712.34290601045
2800,4,39,7,891266.9517159271
1480,4,0,3,589365.7569222106
3475,2,23,21,887634.1792825348
1684,3,40,13,485403.06497878226
3827,5,21,11,1352500.0590767905
3894,5,6,28,1118837.0195299701
627,1,16,3,260907.9378638309
2565,4,48,18,696431.2414765899
2316,4,11,4,799417.0693575674
1069,5,0,12,524418.7338574216
2395,4,2,16,721363.7184077932
3233,2,46,8,891450.5792243422
4363,1,29,15,1130947.8219129117
4514,5,22,15,1556194.9901307083
3401,1,7,16,864906.639280991
2186,2,43,16,464798.1544776158
3509,1,16,7,1072929.357881579
654,4,5,14,225787.5542439565
3037,5,11,8,989259.3509347575
1909,1,20,18,451940.66755447915
4557,3,10,9,1356725.623157829
1284,5,1,4,576203.0396158703
3675,1,19,20,951630.8871264446
4841,5,47,8,1543269.7596485615
3306,1,19,25,716473.9968339691
1037,1,30,18,113012.53068386788
2341,4,35,4,749273.6351987422
2955,1,23,15,799378.1064329749
1024,3,21,1,421594.8094757599
3450,4,8,26,856410.0720042682
4631,3,48,26,1063577.452520454
4615,3,16,5,1481441.8991820614
2868,2,33,28,619069.509080371
4347,3,10,4,1436249.945126892
4995,1,5,1,1462598.1407707485
3201,5,48,9,1021608.0360072787
1471,4,22,29,333964.53436746204
1666,4,47,24,306355.8180258388
3274,4,48,1,1025942.8754915327
2482,5,46,13,751807.8679216959
1353,3,44,14,433847.5645997102
4646,2,48,27,1103603.6078663317
4236,1,39,29,986851.0166415796
4269,4,25,3,1448658.0877567965
1074,1,8,5,287660.06684019865
3761,3,7,11,1164168.5672307655
1648,2,48,28,119217.38874638909
2215,4,45,23,640887.2550925899
4354,3,25,21,1200134.5564925836
2991,2,11,24,726869.7355141062
3160,4,32,2,994852.2267524868
3624,3,44,23,886983.4392232927
3551,1,6,5,1176028.0864336723
504,5,15,9,271772.9087884673
1376,4,25,24,291562.06194303965
1491,2,24,12,351748.2252574745
4642,2,34,8,1198946.3230874883
4864,5,42,12,1502080.2893306904
4965,5,28,1,1692435.417216762
1135,3,49,16,186929.00397206238
2193,5,41,17,669102.6406051322
2182,4,27,15,663993.8910666449
619,5,15,11,122459.54263008211
1330,4,18,4,534516.9904732603
4175,1,39,14,1110457.9815013316
1869,5,5,3,722832.71069606
1240,1,26,4,367260.1974962881
616,2,2,6,162264.07896427455
3338,5,33,2,1173061.1525951216
1650,2,16,20,370436.4424240143
2431,1,31,20,567145.1373921245
1512,2,23,7,465709.83601258445
2164,1,34,2,597575.3510277873
1581,3,34,23,459844.76504563144
1012,1,31,10,263819.799613875
3349,3,14,16,918388.0796044704
1059,2,36,24,92370.6817120718
4172,1,24,18,1066577.7526447086
3843,3,20,14,1047854.6584276377
4570,1,13,8,1268931.721577542
1970,4,22,26,519880.31240146793
1080,4,6,21,305597.21007417014
2794,2,4,29,579416.6151602903
3647,4,13,20,1059157.8114730152
4749,5,18,5,1536282.1158924752
2179,3,42,26,432247.524745788
4006,5,6,18,1402630.4261181394
3244,4,7,6,1111480.5680768965
3856,2,3,21,1080156.6894909977
4545,5,5,5,1603234.563563207
1743,2,36,24,321422.430491179
3618,1,9,21,916250.9177673559
2641,5,49,5,926537.769590486
3559,1,48,9,935971.6256402015
3459,5,13,23,1044130.9923928947
2765,3,12,25,700513.3945884155
2979,2,37,28,615437.1724927563
2135,1,47,24,272855.3578647866
2257,4,41,5,698455.5126607474
4952,5,6,15,1556865.3887806518
2570,1,20,25,520271.2992929121
3349,5,32,22,1030877.7026160994
3751,5,10,25,1118254.121629202
4230,5,5,4,1485947.1001247822
2989,1,35,7,733333.271017633
2131,1,10,25,409049.12730404985
3316,5,33,29,839265.9362020062
1515,4,29,12,564395.2373200649
1848,2,8,28,311385.8615817017
3587,5,6,12,1215803.6435300582
3339,4,45,18,1067873.4897836028
835,2,36,1,291089.5734556596
1395,5,17,22,253667.32449717075
4046,2,48,4,1230406.0157838834
1351,5,28,1,584698.8442962161
2187,1,20,10,489712.53679762915
2431,5,13,23,729380.5233490388
4246,5,15,2,1507004.9107054516
2927,5,25,12,894228.5662380912
2068,5,30,20,633154.4291803155
4500,4,10,29,1258763.6102629828
3238,3,31,6,1065474.7222323148
3998,4,25,22,1130963.0007719574
4413,4,32,12,1362676.1448022244
1566,1,36,23,139266.85129364033
4880,5,10,24,1475165.430641019
2944,4,19,3,1031524.5540923983
4607,2,12,17,1271625.8676746362
3873,5,33,14,1233619.4918048973
4469,1,32,12,1258335.3405016956
3046,1,42,16,689581.1785075014
1253,2,3,22,231944.675432138
2582,1,7,16,763091.9006336362
3274,5,49,22,826310.9186518225
3396,3,10,29,917604.2486894495
4685,3,1,14,1537351.2527571777
1275,4,21,10,363434.2714055802
2125,1,3,7,689731.1666499788
3569,5,41,15,1129402.1164964503
917,2,24,2,357286.0221449299
614,2,43,22,-9248.33548300057
1116,5,49,15,305868.3523413952
4474,5,14,19,1330959.87572238
3767,2,11,28,913464.7666790452
1325,1,32,27,170948.85558315384
2016,4,31,23,591589.8002499574
3646,4,5,21,1157905.2048411
912,4,42,25,126073.07972963997
1228,5,0,8,488081.29541597643
3848,2,37,21,968927.7159901644
3308,2,39,27,839045.6656951472
1175,2,37,19,187577.58662676084
3965,2,19,26,968349.0584250091
3004,2,43,29,704626.3525759872
3467,3,49,17,857581.2440054102
3286,5,4,26,940216.2390904056
1622,5,36,1,595764.0599033386
4579,3,39,4,1478194.5762919565
2071,4,1,3,816320.5644936435
2643,1,13,7,796328.8517174331
2187,5,16,25,574933.9599251093
4632,5,49,13,1478275.0877659898
4351,3,17,14,1136426.331406997
3940,5,16,8,1255907.931292001
4266,5,39,10,1359986.317484184
2826,4,30,23,803155.4276604343
3414,3,41,24,818261.3422521228
4452,5,30,24,1186930.2882111224
1095,2,35,11,203626.19313495484
1228,3,18,18,246272.46243126196
1865,4,31,4,797306.0183828628
4992,1,16,22,1330064.1316022458
1198,5,23,2,492339.31760365743
895,2,44,14,61668.77935258558
4671,2,39,9,1292294.24232212
4860,1,3,26,1250082.578557732
3002,3,4,18,838508.9033988314
2319,4,46,12,791419.0907041911
1217,5,40,22,277852.5136068251
3282,5,0,1,1255539.8890131058
4077,5,25,18,1207818.2083521516
643,2,41,24,12660.74740440197
3640,3,2,12,1096022.1463988323
4991,1,22,6,1495479.6332130926
3438,3,12,2,1158878.375749097
4136,4,21,15,1339428.9321552499
3722,4,30,8,1187164.99470444
1667,1,7,1,554251.0410947164
3116,2,29,21,703448.1762304805
1562,1,45,10,253161.46541549463
2656,4,11,2,989227.095260486
3482,2,21,16,936039.5181238846
3794,3,42,5,1192543.7399997667
1656,4,14,13,513502.0664031601
1232,2,29,6,364167.25771884015
4830,2,23,13,1335120.2291857598
1453,5,48,10,513456.7768877377
3039,3,24,15,817238.5077903214
3824,2,1,22,1031085.5019103093
3801,1,0,29,871117.4456065148
2042,3,19,6,728328.299552302
1691,3,44,26,273700.7844679827
3493,4,43,26,872631.985781662
3181,3,25,11,930285.9408816878
1717,3,7,17,526918.8695059264
2040,5,18,1,813980.9429118185
3736,3,30,10,1102155.9515196616
2886,2,14,21,710282.5315331252
4219,1,41,14,1105410.1703671676
1888,5,1,2,764455.6613917524
2356,5,1,25,664963.4619744228
1865,5,49,9,611820.0380799253
999,5,28,28,184500.3754789896
2180,4,32,18,586241.3522544408
1010,5,9,21,220059.89690287993
4812,4,47,18,1435248.208211037
1824,4,45,29,368124.0650049869
1655,3,20,8,525850.898079249
2327,1,20,29,377299.98673649924
3641,3,42,17,965280.658909659
3986,4,12,4,1275144.9726540823
2310,3,15,16,609041.9876006392
3423,2,18,1,1068566.792377905
2714,5,23,23,794521.1508704432
4686,5,22,7,1566299.4616278377
1213,4,3,2,577788.066647345
4102,3,30,24,1140512.222492787
4634,2,7,7,1437899.2730133105
4022,2,41,8,1140835.876387895
4768,2,24,3,1474085.8667679704
1743,4,22,8,590909.3671615955
4209,3,10,19,1155384.377776889
1581,2,27,13,492960.8588731962
955,2,44,17,175670.5438141679
1394,3,22,27,279364.40589129826
1884,3,44,4,596395.8387685346
2458,5,44,2,913443.2093486453
3572,1,42,5,1002722.6253927819
2496,1,47,10,610750.540245919
4785,2,46,5,1446560.9479616378
1004,3,35,9,293208.3373730194
1714,5,33,8,680448.3410673143
2031,4,47,3,692495.5334650513
3940,1,10,29,849145.446402711
1323,1,48,13,244942.31010501247
1428,3,7,15,384758.1542642056
633,4,33,1,264017.16700689855
2605,1,7,28,505249.57403568714
4127,5,16,10,1279475.980691567
2352,1,21,16,592230.4631558936
4675,3,7,27,1289460.5492152073
3433,3,0,10,1091744.1913289104
3784,4,13,11,1139660.1978008028
4798,1,4,6,1446708.7171286135
3311,4,26,16,1083023.9150578543
1750,1,47,28,210357.5645637972
4012,2,48,17,1008575.0729390812
1756,1,22,8,396131.4984394427
3876,3,11,21,1043313.8464936734
3986,3,29,11,1265278.6537121576
4084,2,7,9,1198495.670898156
1896,1,39,27,189492.60943055712
4137,1,1,19,1114955.0740427747
3830,3,4,29,978193.7400257004
3203,2,12,14,846467.5078425384
970,3,16,24,200698.17238101212
1853,2,34,8,490815.2995356155
3283,3,14,1,1106256.03174329
3331,5,11,26,971935.8203971876
857,1,34,29,23106.810877076947
3519,4,41,2,1175575.2004413218
1167,5,47,18,351498.6048730165
4968,3,2,23,1357279.8138746205
1645,2,9,14,354164.3565223941
4685,4,1,21,1523044.9221798442
4219,2,14,22,1154359.684168538
3245,2,6,20,808600.3298446259
1039,1,19,12,260246.46576468396
3279,3,7,13,992456.570146096
4636,1,46,20,1133614.5349318015
4275,2,25,6,1239405.9409734348
3008,1,7,13,821701.4917557271
3279,5,29,16,1082474.0311430464
1424,2,44,19,301377.37004167406
3456,2,19,22,986419.7332916571
2081,5,30,23,573823.355406187
3824,2,28,23,963154.1510407295
4985,4,29,15,1535211.9779626736
755,4,30,25,150236.4059516554
2338,3,3,5,907343.5748876655
2444,3,28,25,690793.0844893038
509,1,43,19,-89070.7529690525
3371,1,29,19,712207.8675142155
1297,5,21,6,399106.1577154101
1515,5,31,4,624645.2816113968
2324,2,11,2,735982.2254171212
4969,3,29,7,1549551.3702375959
3636,3,4,20,1003878.6208538488
2693,3,1,25,788535.5508843439
723,3,5,4,253473.04049361244
4658,1,42,26,1077565.9170496056
4425,4,42,11,1307777.2044674496
4500,5,34,20,1358641.0006488506
2133,5,9,17,677698.839573116
2652,3,15,5,845622.1345855796
1010,3,47,11,309687.8541336936
884,1,21,15,177908.3019872499
904,1,13,12,192660.76581923195
2500,5,39,8,788895.4373478759
3256,3,15,25,867378.1032952835
2168,3,47,18,567722.0993570819
1960,5,38,17,585862.4539629361
4136,1,0,9,1161963.67143562
3224,5,15,16,1001165.8605337319
4678,1,19,16,1268922.0819008325
2548,1,31,16,660916.3198317987
4646,1,1,3,1366722.3975866393
1216,3,21,3,464075.50233310537
2323,5,4,24,750970.6830316475
2581,1,1,13,714928.1221739382
3919,4,48,12,1209263.9889536945
2074,1,38,28,289167.5963962668
749,1,43,24,-60640.962708551815
1173,1,40,9,163155.51570264716
2665,2,31,28,524730.045915607
1270,4,10,11,409858.5460366819
4462,3,25,27,1119195.543106246
4863,5,30,20,1480942.8532363959
2484,5,14,10,784017.2278229154
1577,5,11,12,517061.4309502442
735,3,25,25,110174.80117831731
888,1,46,3,181841.4582990376
3537,4,48,13,981072.8975951433
2348,5,10,3,928395.5346329904
3314,2,48,29,696593.6744040771
3874,2,21,12,1113097.8963773176
3778,4,27,25,1039386.6144634964
1752,5,21,17,551255.1211529237
4481,1,20,17,1142486.660136165
2622,5,43,26,675660.747310919
2650,1,9,15,693039.9719624326
1829,5,37,20,545590.6786652284
1858,2,24,18,445080.909290842
2982,3,38,5,901890.7677534994
2517,4,13,6,886047.770771269
1831,1,47,18,251873.976316172
4844,3,34,17,1385312.6774761148
4761,1,8,3,1472719.251402853
1858,4,37,6,469072.0266789787
3677,3,36,1,1223606.9071301648
2628,3,3,14,870540.0451683431
2680,4,14,12,879665.4003039512
637,4,28,20,27587.07593579206
3972,1,9,24,989205.5878150305
3332,3,32,9,956003.8275175459
4079,4,6,25,1164314.521286603
3531,1,16,7,1026521.2629277722
4664,5,3,23,1446659.4469487586
3093,4,9,16,961225.5039450468
4800,3,0,4,1537115.713809569
4318,5,41,7,1464959.0882680828
4638,4,19,2,1490732.3131764752
4323,2,6,8,1241048.3308866029
4542,3,8,2,1463079.9730909907
2406,3,31,4,752197.8298434836
1260,1,27,17,162245.00561985522
3945,2,27,17,1086774.2245108243
1399,4,1,7,521790.5953379274
4955,2,3,12,1495562.3149750652
3447,4,16,12,999975.3697015917
2219,1,5,10,567806.2777886793
780,5,7,12,400914.9038761485
3766,2,45,25,861531.7445039448
2387,3,11,17,636182.6352345572
3766,4,18,28,1088153.2004170185
1166,2,28,5,413596.9698389518
4688,4,31,17,1317129.459619697
1171,2,27,23,155835.47766505292
2469,3,4,6,827515.9063066163
4656,4,42,18,1352923.2756433568
3622,4,48,24,881019.446719269
4400,5,11,21,1273500.128054172
1023,1,4,29,77417.90141686442
2893,2,32,11,841333.5058328166
3617,3,30,13,1024888.2079425405
3093,5,24,22,885002.6105260241
2468,5,6,20,785336.3585045409
2253,1,38,19,466646.4824043653
2796,3,24,24,711064.668281723
2761,2,28,23,760508.2746126794
2786,4,10,23,740910.9025463795
4702,1,20,2,1356575.4409953265
3378,4,22,13,1018083.9487770523
4643,5,5,3,1606057.0287681348
4144,4,37,1,1324969.1199280892
4932,2,22,5,1461125.7789671523
2555,2,9,23,564495.3493390636
1776,4,34,19,428234.7349977609
3266,4,4,25,848121.5780311499
802,1,17,24,40948.025396917605
1138,2,20,19,183036.92184685823
555,4,14,8,297550.1835637162
1025,3,11,14,324160.28104579344
4623,1,39,17,1283372.8736331773
2625,1,6,4,779600.8183478257
3787,1,27,25,894857.0027464577
864,1,34,29,-100535.13604872231
2146,4,6,21,612629.5794265048
1418,5,17,16,501999.8590611507
3297,3,47,22,759111.1869713606
2031,5,19,23,617965.9845855166
3845,5,25,29,1071745.835515851
2406,4,33,5,802136.1767491167
3586,1,38,26,796771.3174837667
2575,1,36,13,609930.127066402
1213,4,13,24,310752.3797302343
1562,4,14,29,399421.39966162766
2476,2,15,8,802805.3008571366
1796,1,22,23,288405.27195144544
625,3,33,27,16640.646398370125
4096,2,19,26,983378.7658129876
3783,5,18,26,1210007.1807157344
2103,1,9,13,573567.6504859838
566,4,49,27,-43680.99537125863
732,4,33,11,318108.9829138185
2656,4,39,25,588007.9755998772
1669,1,37,19,243856.54232030985
2658,3,7,27,633129.8809317304
4706,4,20,14,1420399.993006828
1993,1,0,23,448159.6748444609
4507,5,44,22,1249662.8136435926
2972,2,48,1,862641.3414662858
3160,1,41,6,848264.5882553287
3239,1,17,27,750354.4271126176
2261,4,48,1,755065.7031062427
4014,2,22,15,1123476.5719404751
2475,2,15,11,723137.9866453543
2862,4,46,24,750518.9621267028
1376,3,41,6,290112.4517791334
4312,1,24,29,1019352.8838548077
3948,4,4,22,1068259.5783465875
1812,3,10,23,442632.35140771087
1960,4,42,10,594587.0959411815
3209,5,45,26,895016.8169054836
2824,3,5,5,841194.8216813804
2233,3,46,19,482107.0657153143
2105,2,13,29,393861.8782244123
3063,1,43,18,683442.9889343216
3921,4,25,15,1189450.3689172796
4017,4,26,8,1213698.24077245
2897,1,13,22,684528.8030537316
4235,1,42,2,1209914.9659790834
3370,2,28,21,915744.5806535034
1660,1,17,23,230034.86196647125
742,5,17,3,452353.6973112871
3090,2,13,26,729298.9610504954
1563,3,6,29,284087.08954096166
4824,1,27,24,1279285.8621634091
3095,3,4,26,788788.0526085424
1419,2,48,29,159499.6092475247
505,5,39,6,252603.48847709058
967,5,48,18,252696.57784875802
4670,1,14,23,1222958.1247504847
503,5,48,21,132025.24441306957
1145,4,33,7,369742.09691053885
617,2,4,23,13003.42968377655
3428,5,3,28,821580.8971745837
3051,2,16,16,806394.327495513
4789,2,0,3,1576430.5712130414
1346,4,9,2,643185.1042994704
3262,1,33,11,852471.6591010473
1641,2,49,28,291696.4300454862
2310,4,32,28,606724.256388925
1223,5,41,20,367201.2014922284
724,3,26,24,11324.59685918883
4708,1,23,3,1373021.4416678378
2548,3,42,10,681274.8100207555
4915,4,27,2,1547275.3750462914
2073,2,18,19,512161.1001978015
2328,4,1,1,916049.1573112465
2417,1,0,6,604844.182392667
4734,1,44,5,1309131.4056334582
2526,5,24,26,646633.5829130067
4244,4,2,4,1429974.2312277753
1401,1,6,7,351714.27085062256
2539,4,24,3,898319.9790598078
509,5,14,14,293535.8702658877
760,5,3,26,215415.98768827168
2173,4,1,16,729131.4799669888
2719,1,5,28,641149.8006135006
2560,2,34,28,527382.7314179719
4213,2,33,6,1170094.4125168347
2119,5,20,28,506167.72433344065
820,1,21,18,68460.73484524514
1842,5,40,18,633168.6970265065
2876,5,28,11,856230.4827016449
3332,5,48,15,1024887.6247075605
3324,5,13,14,1093260.444447838
2494,4,45,22,666916.056136991
3458,4,41,14,1009740.6443168403
2538,1,48,19,525803.1605220133
3990,1,6,19,1043079.1336166154
4177,3,4,7,1271749.4331532258
1618,2,14,1,440320.1815512042
2104,4,47,6,777175.8634871024
4527,1,13,14,1229490.3910086337
735,5,36,2,324055.59973000805
2469,4,34,23,697355.4476577804
4929,2,48,2,1437913.540040682
2408,4,27,19,691963.7528475536
875,2,36,25,64054.85997521689
4030,3,25,26,1014343.083838583
3135,1,5,22,791681.2206977914
2070,2,47,11,504760.1537628661
3060,3,46,18,842338.079597099
3891,4,7,9,1316297.8254422047
3465,1,9,5,1057866.921794649
4143,2,45,22,898231.8813093592
4350,2,21,12,1261374.1355563262
1372,1,9,23,265292.76092153566
1752,4,18,3,648373.8233487578
1814,4,31,20,403663.3467980286
3398,5,13,24,992960.7745035075
577,4,23,15,121315.29713805058
3121,1,17,27,683301.0095062974
4727,3,26,25,1245791.0166088075
1100,1,17,5,310827.384899591
1565,2,3,14,287745.26985945913
2636,5,28,22,827549.3284773962
2949,5,30,29,819623.038156491
2843,3,2,15,790730.6192529395
2363,2,16,19,594460.4101636383
1818,4,2,10,683681.4945206178
4097,4,6,10,1287476.984124099
4262,4,30,10,1313082.2916473076
2690,1,26,7,636898.7530573094
1492,4,37,24,227864.12030723505
3212,2,2,22,774895.6955063666
2692,5,12,29,715181.0338975538
1748,1,17,5,571629.1830301716
3554,4,21,24,981791.2188373172
4533,2,44,14,1126998.7741023665
2497,3,11,18,704467.547147646
4187,2,38,16,1139283.4462290125
2651,5,49,15,756331.3931125284
4518,2,18,28,1140192.5653986526
3610,2,45,29,858859.7660921165
2470,1,29,26,455161.7884682972
697,5,43,1,338862.50078987674
